mtry,AUC,split,algorithm
68,0.6659181739162403,split_1,opticlust
137,0.6679521654171375,split_1,opticlust
274,0.6689883694859045,split_1,opticlust
350,0.6681279985112876,split_1,opticlust
68,0.6879590901712144,split_2,opticlust
137,0.6889146860552272,split_2,opticlust
274,0.688339622775889,split_2,opticlust
350,0.6878417310093601,split_2,opticlust
68,0.6950132229193141,split_3,opticlust
137,0.6968676480216979,split_3,opticlust
274,0.6964830655615905,split_3,opticlust
350,0.6970344107007523,split_3,opticlust
68,0.6771218778786783,split_4,opticlust
137,0.6819359508604116,split_4,opticlust
274,0.6845345296417431,split_4,opticlust
350,0.6834641548324517,split_4,opticlust
68,0.6842546938609512,split_5,opticlust
137,0.6879758285936299,split_5,opticlust
274,0.6874113630134719,split_5,opticlust
350,0.6873818482638788,split_5,opticlust
68,0.6682971858437785,split_6,opticlust
137,0.6718840282347693,split_6,opticlust
274,0.6740666965746381,split_6,opticlust
350,0.674833000338594,split_6,opticlust
68,0.7007366875352273,split_7,opticlust
137,0.703725970007583,split_7,opticlust
274,0.7049382866867214,split_7,opticlust
350,0.7052645734859876,split_7,opticlust
68,0.685998712143474,split_8,opticlust
137,0.6881091335550192,split_8,opticlust
274,0.688264501894872,split_8,opticlust
350,0.6872843838617331,split_8,opticlust
68,0.7028096335319755,split_9,opticlust
137,0.7082715487387892,split_9,opticlust
274,0.7093563056847125,split_9,opticlust
350,0.7088304565108099,split_9,opticlust
68,0.6859714365661626,split_10,opticlust
137,0.6872763241654335,split_10,opticlust
274,0.6883943172167966,split_10,opticlust
350,0.6883846242730622,split_10,opticlust
68,0.6973686917444311,split_11,opticlust
137,0.6999320844719609,split_11,opticlust
274,0.7023380787487732,split_11,opticlust
350,0.7015149595796546,split_11,opticlust
68,0.6906171969088398,split_12,opticlust
137,0.6934505512511792,split_12,opticlust
274,0.6963129232833873,split_12,opticlust
350,0.69622255360476,split_12,opticlust
68,0.6807178204766928,split_13,opticlust
137,0.6829415711964527,split_13,opticlust
274,0.6842291763174279,split_13,opticlust
350,0.684437849760075,split_13,opticlust
68,0.7049431000088338,split_14,opticlust
137,0.709595006763582,split_14,opticlust
274,0.7127376986171263,split_14,opticlust
350,0.7133245189718022,split_14,opticlust
68,0.6845770184767603,split_15,opticlust
137,0.6867832184663415,split_15,opticlust
274,0.6885244178519735,split_15,opticlust
350,0.6866810365355703,split_15,opticlust
68,0.6880497968045198,split_16,opticlust
137,0.6927638672302695,split_16,opticlust
274,0.6918110344012471,split_16,opticlust
350,0.6914299628955186,split_16,opticlust
68,0.6959475905112437,split_17,opticlust
137,0.6995274607033858,split_17,opticlust
274,0.6997279176665042,split_17,opticlust
350,0.698488469365174,split_17,opticlust
68,0.6795017758434684,split_18,opticlust
137,0.6818702908793193,split_18,opticlust
274,0.6803599800597425,split_18,opticlust
350,0.6802129288140892,split_18,opticlust
68,0.7040312670808541,split_19,opticlust
137,0.7074767816042332,split_19,opticlust
274,0.7080650666059263,split_19,opticlust
350,0.7073902407390007,split_19,opticlust
68,0.683396540592905,split_20,opticlust
137,0.6863518529745539,split_20,opticlust
274,0.6881068802531574,split_20,opticlust
350,0.6882768102065215,split_20,opticlust
68,0.7071381576578764,split_21,opticlust
137,0.7106435154289176,split_21,opticlust
274,0.7119456871571879,split_21,opticlust
350,0.7112725031335073,split_21,opticlust
68,0.6767082300052587,split_22,opticlust
137,0.6776564767712342,split_22,opticlust
274,0.6794049720280434,split_22,opticlust
350,0.678411956287033,split_22,opticlust
68,0.7010265293832104,split_23,opticlust
137,0.7047894345205704,split_23,opticlust
274,0.7061713032649551,split_23,opticlust
350,0.7056515548150074,split_23,opticlust
68,0.6734801615579966,split_24,opticlust
137,0.6772900136444209,split_24,opticlust
274,0.6788298547875885,split_24,opticlust
350,0.6782384657460876,split_24,opticlust
68,0.6710560526700664,split_25,opticlust
137,0.6759990446970227,split_25,opticlust
274,0.67794059130973,split_25,opticlust
350,0.6778139997154435,split_25,opticlust
68,0.697281756492914,split_26,opticlust
137,0.7003870348976874,split_26,opticlust
274,0.70007818258826,split_26,opticlust
350,0.6986222288878601,split_26,opticlust
68,0.7069936880119381,split_27,opticlust
137,0.7093576244604527,split_27,opticlust
274,0.7109310983265269,split_27,opticlust
350,0.7114437783013863,split_27,opticlust
68,0.6888947483411372,split_28,opticlust
137,0.691611840815829,split_28,opticlust
274,0.69181715165265,split_28,opticlust
350,0.6917590868999183,split_28,opticlust
68,0.7008296566860412,split_29,opticlust
137,0.702741460375139,split_29,opticlust
274,0.7029783526890467,split_29,opticlust
350,0.7028829543117624,split_29,opticlust
68,0.7156129635671994,split_30,opticlust
137,0.7226940907513228,split_30,opticlust
274,0.7256407033599118,split_30,opticlust
350,0.7271563130562733,split_30,opticlust
68,0.6979308755191875,split_31,opticlust
137,0.7004753983490238,split_31,opticlust
274,0.7012254513043531,split_31,opticlust
350,0.7007680430227019,split_31,opticlust
68,0.6895734469567095,split_32,opticlust
137,0.6903316883106999,split_32,opticlust
274,0.6917409523842678,split_32,opticlust
350,0.6918944524451717,split_32,opticlust
68,0.6801522248247006,split_33,opticlust
137,0.6855847438695838,split_33,opticlust
274,0.689920709781134,split_33,opticlust
350,0.6906512436797588,split_33,opticlust
68,0.6856451164620264,split_34,opticlust
137,0.689435415893276,split_34,opticlust
274,0.689881916194035,split_34,opticlust
350,0.6907012552004983,split_34,opticlust
68,0.6838893240036924,split_35,opticlust
137,0.6848686295743511,split_35,opticlust
274,0.6830064380481266,split_35,opticlust
350,0.6823896264070781,split_35,opticlust
68,0.6875977074497229,split_36,opticlust
137,0.6891913293746061,split_36,opticlust
274,0.6874745029714536,split_36,opticlust
350,0.6879058279813035,split_36,opticlust
68,0.674740738133603,split_37,opticlust
137,0.6774752632086455,split_37,opticlust
274,0.6778208041805917,split_37,opticlust
350,0.6767882718635806,split_37,opticlust
68,0.7109225390556636,split_38,opticlust
137,0.712694015528452,split_38,opticlust
274,0.7116719421747127,split_38,opticlust
350,0.7112675091041482,split_38,opticlust
68,0.6865244784303909,split_39,opticlust
137,0.688282723205557,split_39,opticlust
274,0.6885679405366181,split_39,opticlust
350,0.6880827070731069,split_39,opticlust
68,0.6949620681433802,split_40,opticlust
137,0.6978552649589417,split_40,opticlust
274,0.6997513570795955,split_40,opticlust
350,0.6994173891021234,split_40,opticlust
68,0.6933708904368686,split_41,opticlust
137,0.6978923422316679,split_41,opticlust
274,0.6984606007433017,split_41,opticlust
350,0.6989727383571456,split_41,opticlust
68,0.7067258000797644,split_42,opticlust
137,0.7084546163976874,split_42,opticlust
274,0.708964979515137,split_42,opticlust
350,0.7086350171486627,split_42,opticlust
68,0.7091336580523144,split_43,opticlust
137,0.7116851164456388,split_43,opticlust
274,0.7133043497127584,split_43,opticlust
350,0.7130338184458493,split_43,opticlust
68,0.6861212782330991,split_44,opticlust
137,0.6890398454854246,split_44,opticlust
274,0.6885965739723039,split_44,opticlust
350,0.6876591029320964,split_44,opticlust
68,0.6987539051558354,split_45,opticlust
137,0.7022174278667815,split_45,opticlust
274,0.7060965752834458,split_45,opticlust
350,0.7057571712911852,split_45,opticlust
68,0.6950684857742083,split_46,opticlust
137,0.6982211323154919,split_46,opticlust
274,0.6993752401415292,split_46,opticlust
350,0.6988658958732535,split_46,opticlust
68,0.6982498256581706,split_47,opticlust
137,0.7007618627216337,split_47,opticlust
274,0.6997662359927049,split_47,opticlust
350,0.6989605174726694,split_47,opticlust
68,0.7031463855756429,split_48,opticlust
137,0.7072518811332871,split_48,opticlust
274,0.708210027281558,split_48,opticlust
350,0.7088114017981393,split_48,opticlust
68,0.6823844514172257,split_49,opticlust
137,0.6854555033278577,split_49,opticlust
274,0.6849732491708754,split_49,opticlust
350,0.6838951500887072,split_49,opticlust
68,0.679365979059781,split_50,opticlust
