mcc,split,algorithm,subset,state
0.895424,NA,opticlust,NA,NA
0.896666,split_1,optifit,train,NA
0.892702,split_2,optifit,train,NA
0.894383,split_3,optifit,train,NA
0.892665,split_4,optifit,train,NA
0.893055,split_5,optifit,train,NA
0.896576,split_6,optifit,train,NA
0.893681,split_7,optifit,train,NA
0.892946,split_8,optifit,train,NA
0.892855,split_9,optifit,train,NA
0.892397,split_10,optifit,train,NA
0.892849,split_11,optifit,train,NA
0.894665,split_12,optifit,train,NA
0.894638,split_13,optifit,train,NA
0.893266,split_14,optifit,train,NA
0.895315,split_15,optifit,train,NA
0.894025,split_16,optifit,train,NA
0.892537,split_17,optifit,train,NA
0.894385,split_18,optifit,train,NA
0.893151,split_19,optifit,train,NA
0.89397,split_20,optifit,train,NA
0.893716,split_21,optifit,train,NA
0.893259,split_22,optifit,train,NA
0.894645,split_23,optifit,train,NA
0.891841,split_24,optifit,train,NA
0.893329,split_25,optifit,train,NA
0.892077,split_26,optifit,train,NA
0.894717,split_27,optifit,train,NA
0.892103,split_28,optifit,train,NA
0.896455,split_29,optifit,train,NA
0.893515,split_30,optifit,train,NA
0.893972,split_31,optifit,train,NA
0.895122,split_32,optifit,train,NA
0.896385,split_33,optifit,train,NA
0.893074,split_34,optifit,train,NA
0.893778,split_35,optifit,train,NA
0.893842,split_36,optifit,train,NA
0.894472,split_37,optifit,train,NA
0.895793,split_38,optifit,train,NA
0.892168,split_39,optifit,train,NA
0.893734,split_40,optifit,train,NA
0.892738,split_41,optifit,train,NA
0.894509,split_42,optifit,train,NA
0.894035,split_43,optifit,train,NA
0.891186,split_44,optifit,train,NA
0.893256,split_45,optifit,train,NA
0.892731,split_46,optifit,train,NA
0.893884,split_47,optifit,train,NA
0.893597,split_48,optifit,train,NA
0.894268,split_49,optifit,train,NA
0.892181,split_50,optifit,train,NA
0.89266,split_51,optifit,train,NA
0.892263,split_52,optifit,train,NA
0.892418,split_53,optifit,train,NA
0.894038,split_54,optifit,train,NA
0.894352,split_55,optifit,train,NA
0.894376,split_56,optifit,train,NA
0.892021,split_57,optifit,train,NA
0.893779,split_58,optifit,train,NA
0.892666,split_59,optifit,train,NA
0.89255,split_60,optifit,train,NA
0.895559,split_61,optifit,train,NA
0.893987,split_62,optifit,train,NA
0.894861,split_63,optifit,train,NA
0.894861,split_64,optifit,train,NA
0.893038,split_65,optifit,train,NA
0.89432,split_66,optifit,train,NA
0.894969,split_67,optifit,train,NA
0.891752,split_68,optifit,train,NA
0.894668,split_69,optifit,train,NA
0.89274,split_70,optifit,train,NA
0.893435,split_71,optifit,train,NA
0.893291,split_72,optifit,train,NA
0.89765,split_73,optifit,train,NA
0.894833,split_74,optifit,train,NA
0.89174,split_75,optifit,train,NA
