mcc,split,algorithm,subset,state
0.895358,NA,opticlust,NA,NA
0.895822,split_1,optifit,train,NA
0.894851,split_2,optifit,train,NA
0.894978,split_3,optifit,train,NA
0.894375,split_4,optifit,train,NA
0.894166,split_5,optifit,train,NA
0.896638,split_6,optifit,train,NA
0.894877,split_7,optifit,train,NA
0.894297,split_8,optifit,train,NA
0.892642,split_9,optifit,train,NA
0.894241,split_10,optifit,train,NA
0.893529,split_11,optifit,train,NA
0.895424,split_12,optifit,train,NA
0.895866,split_13,optifit,train,NA
0.89481,split_14,optifit,train,NA
0.895235,split_15,optifit,train,NA
0.894652,split_16,optifit,train,NA
0.894319,split_17,optifit,train,NA
0.893735,split_18,optifit,train,NA
0.894252,split_19,optifit,train,NA
0.895167,split_20,optifit,train,NA
0.895092,split_21,optifit,train,NA
0.894511,split_22,optifit,train,NA
0.894885,split_23,optifit,train,NA
0.894292,split_24,optifit,train,NA
0.894377,split_25,optifit,train,NA
0.89431,split_26,optifit,train,NA
0.893922,split_27,optifit,train,NA
0.893863,split_28,optifit,train,NA
0.893899,split_29,optifit,train,NA
0.894015,split_30,optifit,train,NA
0.894262,split_31,optifit,train,NA
0.894829,split_32,optifit,train,NA
0.895275,split_33,optifit,train,NA
0.895228,split_34,optifit,train,NA
0.894898,split_35,optifit,train,NA
0.893803,split_36,optifit,train,NA
0.894376,split_37,optifit,train,NA
0.895594,split_38,optifit,train,NA
0.894247,split_39,optifit,train,NA
0.89402,split_40,optifit,train,NA
0.894331,split_41,optifit,train,NA
0.895377,split_42,optifit,train,NA
0.894833,split_43,optifit,train,NA
0.894341,split_44,optifit,train,NA
0.894582,split_45,optifit,train,NA
0.892875,split_46,optifit,train,NA
0.89587,split_47,optifit,train,NA
0.894258,split_48,optifit,train,NA
0.895731,split_49,optifit,train,NA
0.893795,split_50,optifit,train,NA
0.894675,split_51,optifit,train,NA
0.893992,split_52,optifit,train,NA
0.892998,split_53,optifit,train,NA
0.895225,split_54,optifit,train,NA
0.894957,split_55,optifit,train,NA
0.895995,split_56,optifit,train,NA
0.893491,split_57,optifit,train,NA
0.894553,split_58,optifit,train,NA
0.894166,split_59,optifit,train,NA
0.894118,split_60,optifit,train,NA
0.893937,split_61,optifit,train,NA
0.895276,split_62,optifit,train,NA
0.895066,split_63,optifit,train,NA
0.895218,split_64,optifit,train,NA
0.893253,split_65,optifit,train,NA
0.895666,split_66,optifit,train,NA
0.894319,split_67,optifit,train,NA
0.894716,split_68,optifit,train,NA
0.894774,split_69,optifit,train,NA
0.89467699999999994,split_70,optifit,train,NA
0.894423,split_71,optifit,train,NA
0.893946,split_72,optifit,train,NA
0.896122,split_73,optifit,train,NA
0.893208,split_74,optifit,train,NA
0.893266,split_75,optifit,train,NA
0.895444,split_76,optifit,train,NA
0.895588,split_77,optifit,train,NA
0.895889,split_78,optifit,train,NA
0.895967,split_79,optifit,train,NA
0.895143,split_80,optifit,train,NA
0.895846,split_81,optifit,train,NA
0.8946,split_82,optifit,train,NA
0.893112,split_83,optifit,train,NA
0.892954,split_84,optifit,train,NA
0.895239,split_85,optifit,train,NA
0.895056,split_86,optifit,train,NA
0.894789,split_87,optifit,train,NA
0.894852,split_88,optifit,train,NA
0.891566,split_89,optifit,train,NA
0.894232,split_90,optifit,train,NA
0.894224,split_91,optifit,train,NA
