mcc,split,algorithm,subset,state
0.895403,NA,opticlust,NA,NA
0.897317,split_1,optifit,train,NA
0.892366,split_2,optifit,train,NA
0.894421,split_3,optifit,train,NA
0.892614,split_4,optifit,train,NA
0.892857,split_5,optifit,train,NA
0.89636,split_6,optifit,train,NA
0.893809,split_7,optifit,train,NA
0.892974,split_8,optifit,train,NA
0.892945,split_9,optifit,train,NA
0.892116,split_10,optifit,train,NA
0.893286,split_11,optifit,train,NA
0.895035,split_12,optifit,train,NA
0.894571,split_13,optifit,train,NA
0.893158,split_14,optifit,train,NA
0.895218,split_15,optifit,train,NA
0.893558,split_16,optifit,train,NA
0.892594,split_17,optifit,train,NA
0.894846,split_18,optifit,train,NA
0.893101,split_19,optifit,train,NA
0.893452,split_20,optifit,train,NA
0.894013,split_21,optifit,train,NA
0.891243,split_22,optifit,train,NA
0.894838,split_23,optifit,train,NA
0.892635,split_24,optifit,train,NA
0.893334,split_25,optifit,train,NA
0.892148,split_26,optifit,train,NA
0.895086,split_27,optifit,train,NA
0.891885,split_28,optifit,train,NA
0.896701,split_29,optifit,train,NA
0.893687,split_30,optifit,train,NA
0.894418,split_31,optifit,train,NA
0.895028,split_32,optifit,train,NA
0.896397,split_33,optifit,train,NA
0.893237,split_34,optifit,train,NA
0.894187,split_35,optifit,train,NA
0.893603,split_36,optifit,train,NA
0.894457,split_37,optifit,train,NA
0.896242,split_38,optifit,train,NA
0.89263,split_39,optifit,train,NA
0.893731,split_40,optifit,train,NA
0.893211,split_41,optifit,train,NA
0.894603,split_42,optifit,train,NA
0.894092,split_43,optifit,train,NA
0.891449,split_44,optifit,train,NA
0.893889,split_45,optifit,train,NA
0.892526,split_46,optifit,train,NA
0.893802,split_47,optifit,train,NA
0.893733,split_48,optifit,train,NA
0.894007,split_49,optifit,train,NA
0.892347,split_50,optifit,train,NA
0.892727,split_51,optifit,train,NA
0.892669,split_52,optifit,train,NA
0.892321,split_53,optifit,train,NA
0.894091,split_54,optifit,train,NA
0.894528,split_55,optifit,train,NA
0.894406,split_56,optifit,train,NA
0.892664,split_57,optifit,train,NA
0.893897,split_58,optifit,train,NA
0.892718,split_59,optifit,train,NA
0.892108,split_60,optifit,train,NA
0.895391,split_61,optifit,train,NA
0.89432,split_62,optifit,train,NA
0.894922,split_63,optifit,train,NA
0.89492,split_64,optifit,train,NA
0.89385,split_65,optifit,train,NA
0.894449,split_66,optifit,train,NA
0.894446,split_67,optifit,train,NA
0.894096,split_68,optifit,train,NA
0.894638,split_69,optifit,train,NA
0.892148,split_70,optifit,train,NA
0.894322,split_71,optifit,train,NA
0.892949,split_72,optifit,train,NA
0.897648,split_73,optifit,train,NA
0.894881,split_74,optifit,train,NA
0.8917,split_75,optifit,train,NA
0.894643,split_76,optifit,train,NA
0.893431,split_77,optifit,train,NA
0.894444,split_78,optifit,train,NA
0.897037,split_79,optifit,train,NA
0.893799,split_80,optifit,train,NA
0.893947,split_81,optifit,train,NA
0.893628,split_82,optifit,train,NA
0.892048,split_83,optifit,train,NA
0.892533,split_84,optifit,train,NA
0.894576,split_85,optifit,train,NA
0.895732,split_86,optifit,train,NA
0.895319,split_87,optifit,train,NA
