mcc,split,algorithm,subset,state
0.895311,NA,opticlust,NA,NA
0.897049,split_1,optifit,train,NA
0.892511,split_2,optifit,train,NA
0.894508,split_3,optifit,train,NA
0.892632,split_4,optifit,train,NA
0.892578,split_5,optifit,train,NA
0.896385,split_6,optifit,train,NA
0.893754,split_7,optifit,train,NA
0.893022,split_8,optifit,train,NA
0.892904,split_9,optifit,train,NA
0.89168,split_10,optifit,train,NA
0.893249,split_11,optifit,train,NA
0.894821,split_12,optifit,train,NA
0.894624,split_13,optifit,train,NA
0.893225,split_14,optifit,train,NA
0.895422,split_15,optifit,train,NA
0.894119,split_16,optifit,train,NA
0.892498,split_17,optifit,train,NA
0.895112,split_18,optifit,train,NA
0.892967,split_19,optifit,train,NA
0.893815,split_20,optifit,train,NA
0.894049,split_21,optifit,train,NA
0.89352,split_22,optifit,train,NA
0.894747,split_23,optifit,train,NA
0.892169,split_24,optifit,train,NA
0.893435,split_25,optifit,train,NA
0.892119,split_26,optifit,train,NA
0.895445,split_27,optifit,train,NA
0.892328,split_28,optifit,train,NA
0.896918,split_29,optifit,train,NA
0.893655,split_30,optifit,train,NA
0.894283,split_31,optifit,train,NA
0.894893,split_32,optifit,train,NA
0.896365,split_33,optifit,train,NA
0.893087,split_34,optifit,train,NA
0.894003,split_35,optifit,train,NA
0.893841,split_36,optifit,train,NA
0.894551,split_37,optifit,train,NA
0.89648,split_38,optifit,train,NA
0.892545,split_39,optifit,train,NA
0.893611,split_40,optifit,train,NA
0.892823,split_41,optifit,train,NA
0.894619,split_42,optifit,train,NA
0.894235,split_43,optifit,train,NA
0.891471,split_44,optifit,train,NA
0.893401,split_45,optifit,train,NA
0.892812,split_46,optifit,train,NA
0.893304,split_47,optifit,train,NA
0.893766,split_48,optifit,train,NA
0.893976,split_49,optifit,train,NA
0.892566,split_50,optifit,train,NA
0.890056,split_51,optifit,train,NA
0.89236,split_52,optifit,train,NA
0.892974,split_53,optifit,train,NA
0.894042,split_54,optifit,train,NA
0.893822,split_55,optifit,train,NA
0.894363,split_56,optifit,train,NA
0.892076,split_57,optifit,train,NA
0.894195,split_58,optifit,train,NA
0.892384,split_59,optifit,train,NA
0.892603,split_60,optifit,train,NA
0.895516,split_61,optifit,train,NA
0.894684,split_62,optifit,train,NA
0.894644,split_63,optifit,train,NA
0.89492,split_64,optifit,train,NA
0.893428,split_65,optifit,train,NA
0.894715,split_66,optifit,train,NA
0.894467,split_67,optifit,train,NA
0.893725,split_68,optifit,train,NA
0.894691,split_69,optifit,train,NA
0.892392,split_70,optifit,train,NA
0.894213,split_71,optifit,train,NA
0.893398,split_72,optifit,train,NA
0.897715,split_73,optifit,train,NA
0.894812,split_74,optifit,train,NA
0.891457,split_75,optifit,train,NA
0.894472,split_76,optifit,train,NA
0.893589,split_77,optifit,train,NA
0.894574,split_78,optifit,train,NA
0.896925,split_79,optifit,train,NA
0.893958,split_80,optifit,train,NA
0.894244,split_81,optifit,train,NA
0.893549,split_82,optifit,train,NA
0.892527,split_83,optifit,train,NA
0.892629,split_84,optifit,train,NA
0.894668,split_85,optifit,train,NA
0.895875,split_86,optifit,train,NA
0.895135,split_87,optifit,train,NA
0.895551,split_88,optifit,train,NA
0.891865,split_89,optifit,train,NA
0.893757,split_90,optifit,train,NA
0.893374,split_91,optifit,train,NA
0.896807,split_92,optifit,train,NA
0.895118,split_93,optifit,train,NA
0.893738,split_94,optifit,train,NA
0.89394,split_95,optifit,train,NA
0.89274,split_96,optifit,train,NA
0.894722,split_97,optifit,train,NA
0.89352,split_98,optifit,train,NA
0.89354,split_99,optifit,train,NA
0.893522,split_100,optifit,train,NA
0.891295,split_1,optifit,test,combo
0.87229,split_1,optifit,test,fit
0.891721,split_2,optifit,test,combo
0.889877,split_2,optifit,test,fit
0.891666,split_3,optifit,test,combo
