group1,group2,bothTest,bothTrain
2003650,2005650,3,67
2003650,2007660,0,84
2003650,2009650,6,72
2003650,2013660,0,84
2003650,2015650,4,63
2003650,2017660,0,84
2003650,2019651,5,67
2003650,2023680,0,84
2003650,2025653,4,68
2003650,2027653,0,84
2003650,2029650,5,63
2003650,2031650,0,84
2003650,2033650,4,62
2003650,2035650,0,84
2003650,2037653,2,67
2003650,2039650,0,84
2003650,2041650,3,63
2003650,2043650,0,84
2003650,2045653,1,66
2003650,2049653,0,84
2003650,2051660,4,67
2003650,2055690,0,84
2003650,2057650,4,65
2003650,2059653,0,84
2003650,2061650,3,65
2003650,2063650,0,84
2003650,2065651,5,65
2003650,2067650,0,84
2003650,2071650,0,67
2003650,2073650,0,84
2003650,2075650,7,71
2003650,2077653,0,84
2003650,2081660,3,72
2003650,2083650,0,84
2003650,2085653,5,60
2003650,2087650,0,84
2003650,2093650,4,71
2003650,2097653,0,84
2003650,2103650,1,70
2003650,2105652,0,84
2003650,2107650,3,65
2003650,2109653,0,84
2003650,2113670,2,68
2003650,2115650,0,84
2003650,2117651,4,66
2003650,2119650,0,84
2003650,2123652,2,65
2003650,2125650,0,84
2003650,2127650,4,65
2003650,2129660,0,84
2003650,2131650,2,75
2003650,2133650,0,84
2003650,2137650,6,66
2003650,2139650,0,84
2003650,2143653,6,65
2003650,2145660,0,84
2003650,2147680,4,66
2003650,2149650,0,84
2003650,2151650,3,63
2003650,2153660,0,84
2003650,2155650,5,67
2003650,2157660,0,84
2003650,2159650,3,68
2003650,2161653,0,84
2003650,2163653,2,66
2003650,2165652,0,84
2003650,2167670,4,61
2003650,2169653,0,84
2003650,2171690,2,66
2003650,2173650,0,84
2003650,2177653,2,73
2003650,2179650,0,84
2003650,2181650,6,67
2003650,2183650,0,84
2003650,2185670,1,63
2003650,2187680,0,84
2003650,2189650,5,73
2003650,2193650,0,84
2003650,2195651,0,69
2003650,2197670,0,84
2003650,2199650,0,69
2003650,2201650,0,84
2003650,2203653,2,67
2003650,2205670,0,84
2003650,2207653,2,69
2003650,2215650,0,84
2003650,2219650,2,75
2003650,2221650,0,84
2003650,2223650,5,71
2003650,2225650,0,84
2003650,2227660,6,73
2003650,2229653,0,84
2003650,2231653,5,72
2003650,2239650,0,84
2003650,2241650,4,59
2003650,2243651,0,84
2003650,2253660,4,70
2003650,2255653,0,84
2003650,2257660,4,64
2003650,2261650,0,84
2003650,2265651,3,64
2003650,2267653,0,84
2003650,2271650,2,65
2003650,2277650,0,84
2003650,2279650,0,67
2003650,2281651,0,84
2003650,2283670,3,69
2003650,2285653,0,84
2003650,2287660,1,65
2003650,2289650,0,84
2003650,2291653,4,67
2003650,2293650,0,84
2003650,2295650,2,72
2003650,2297650,0,84
2003650,2301650,2,70
2003650,2305651,0,84
2003650,2307650,5,67
2003650,2309650,0,84
2003650,2313680,4,67
2003650,2315650,0,84
2003650,2321650,1,68
2003650,2325660,0,84
2003650,2327650,5,73
2003650,2329650,0,84
2003650,2335650,2,70
2003650,2337650,0,84
2003650,2339651,3,60
2003650,2341650,0,84
2003650,2343650,4,70
2003650,2349653,0,84
2003650,2353670,4,65
2003650,2355653,0,84
2003650,2359650,4,67
2003650,2365651,0,84
2003650,2367650,2,72
2003650,2373690,0,84
2003650,2375650,4,65
2003650,2379653,0,84
2003650,2389650,5,69
2003650,2393650,0,84
2003650,2395670,4,63
2003650,2399670,0,84
2003650,2405680,2,62
2003650,2409670,0,84
2003650,2411660,1,70
2003650,2413660,0,84
2003650,2419660,4,66
