iter	label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
1	0.03	0.03	278	382	94341	10	97	0.7975	0.9999	0.9745	0.999	0.9745	0.9989	0.881	0.8772
1	0.03	0.03	313	847	179144	56	253	0.77	0.9997	0.938	0.9986	0.938	0.9983	0.849	0.8457
1	0.03	0.03	283	387	113943	21	130	0.7485	0.9998	0.9485	0.9989	0.9485	0.9987	0.842	0.8368
1	0.03	0.03	336	424	143847	19	163	0.7223	0.9999	0.9571	0.9989	0.9571	0.9987	0.8309	0.8233
1	0.03	0.03	146	74	19390	4	35	0.6789	0.9998	0.9487	0.9982	0.9487	0.998	0.8017	0.7914
1	0.03	0.03	275	663	139162	57	303	0.6863	0.9996	0.9208	0.9978	0.9208	0.9974	0.7938	0.7865
1	0.03	0.03	252	288	81414	21	87	0.768	0.9997	0.932	0.9989	0.932	0.9987	0.8454	0.8421
1	0.03	0.03	200	130	38607	3	41	0.7602	0.9999	0.9774	0.9989	0.9774	0.9989	0.8615	0.8553
1	0.03	0.03	324	253	107490	3	134	0.6537	1	0.9883	0.9988	0.9883	0.9987	0.8033	0.7869
1	0.03	0.03	191	63	27873	1	29	0.6848	1	0.9844	0.999	0.9844	0.9989	0.8206	0.8077
1	0.03	0.03	137	69	16017	0	24	0.7419	1	1	0.9985	1	0.9985	0.8607	0.8519
1	0.03	0.03	254	811	122174	43	228	0.7806	0.9996	0.9496	0.9981	0.9496	0.9978	0.8599	0.8568
1	0.03	0.03	259	193	67225	6	104	0.6498	0.9999	0.9698	0.9985	0.9698	0.9984	0.7932	0.7782
1	0.03	0.03	325	370	121221	15	165	0.6916	0.9999	0.961	0.9986	0.961	0.9985	0.8146	0.8043
1	0.03	0.03	335	479	162602	29	196	0.7096	0.9998	0.9429	0.9988	0.9429	0.9986	0.8174	0.8098
1	0.03	0.03	231	94	42932	2	43	0.6861	1	0.9792	0.999	0.9792	0.999	0.8192	0.8069
1	0.03	0.03	266	422	102208	22	179	0.7022	0.9998	0.9505	0.9983	0.9505	0.998	0.8161	0.8077
1	0.03	0.03	265	506	106702	21	187	0.7302	0.9998	0.9602	0.9983	0.9602	0.9981	0.8364	0.8295
1	0.03	0.03	419	511	227420	22	197	0.7218	0.9999	0.9587	0.9991	0.9587	0.999	0.8314	0.8235
1	0.03	0.03	199	76	30755	1	44	0.6333	1	0.987	0.9986	0.987	0.9985	0.79	0.7716
1	0.03	0.03	107	70	10341	2	27	0.7216	0.9998	0.9722	0.9974	0.9722	0.9972	0.8364	0.8284
1	0.03	0.03	205	40	27883	0	43	0.4819	1	1	0.9985	1	0.9985	0.6937	0.6504
1	0.03	0.03	252	97	51523	5	56	0.634	0.9999	0.951	0.9989	0.951	0.9988	0.776	0.7608
1	0.03	0.03	196	198	46353	4	110	0.6429	0.9999	0.9802	0.9976	0.9802	0.9976	0.7928	0.7765
1	0.03	0.03	184	117	30714	4	41	0.7405	0.9999	0.9669	0.9987	0.9669	0.9985	0.8455	0.8387
1	0.03	0.03	226	359	68530	11	106	0.772	0.9998	0.9703	0.9985	0.9703	0.9983	0.8647	0.8599
1	0.03	0.03	96	604	13520	34	38	0.9408	0.9975	0.9467	0.9972	0.9467	0.9949	0.9411	0.9437
1	0.03	0.03	269	163	62980	3	44	0.7874	1	0.9819	0.9993	0.9819	0.9993	0.879	0.874
1	0.03	0.03	289	298	91799	4	134	0.6898	1	0.9868	0.9985	0.9868	0.9985	0.8244	0.812
1	0.03	0.03	233	792	81634	51	144	0.8462	0.9994	0.9395	0.9982	0.9395	0.9976	0.8904	0.8904
1	0.03	0.03	162	94	25267	0	64	0.5949	1	1	0.9975	1	0.9975	0.7703	0.746
1	0.03	0.03	153	148	25203	7	67	0.6884	0.9997	0.9548	0.9973	0.9548	0.9971	0.8094	0.8
1	0.03	0.03	139	49	15852	2	28	0.6364	0.9999	0.9608	0.9982	0.9608	0.9981	0.7811	0.7656
1	0.03	0.03	165	72	23313	3	48	0.6	0.9999	0.96	0.9979	0.96	0.9978	0.7581	0.7385
1	0.03	0.03	232	375	69595	22	133	0.7382	0.9997	0.9446	0.9981	0.9446	0.9978	0.834	0.8287
1	0.03	0.03	128	72	13251	6	37	0.6606	0.9995	0.9231	0.9972	0.9231	0.9968	0.7794	0.7701
1	0.03	0.03	246	439	84019	18	190	0.6979	0.9998	0.9606	0.9977	0.9606	0.9975	0.8177	0.8085
