label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
0.03	0.03	2.73959e+07	7.42168e+09	2.37672e+06	4.03373e+06	0.871659	0.99968	0.920171	0.999457	0.920171	0.99914	0.895158	0.895258	
0.03	0.03	2.73587e+07	7.40392e+09	2.37645e+06	4.01566e+06	0.872008	0.999679	0.920079	0.999458	0.920079	0.999141	0.895293	0.895399	
0.03	0.03	2.75409e+07	7.41456e+09	2.51956e+06	3.9122e+06	0.875618	0.99966	0.916184	0.999473	0.916184	0.999137	0.89524	0.895442	
0.03	0.03	2.74539e+07	7.41818e+09	2.41698e+06	4.01951e+06	0.872289	0.999674	0.919086	0.999458	0.919086	0.999136	0.894951	0.895076	
0.03	0.03	2.74632e+07	7.43993e+09	2.39006e+06	4.03412e+06	0.871922	0.999679	0.91994	0.999458	0.91994	0.99914	0.89518	0.895287	
0.03	0.03	2.72662e+07	7.40316e+09	2.33616e+06	4.04945e+06	0.87069	0.999685	0.921082	0.999453	0.921082	0.999141	0.895103	0.895177	
0.03	0.03	2.74433e+07	7.41587e+09	2.41709e+06	4.02014e+06	0.872228	0.999674	0.919054	0.999458	0.919054	0.999136	0.894904	0.895029	
0.03	0.03	2.76298e+07	7.44096e+09	2.55296e+06	3.89206e+06	0.876528	0.999657	0.915417	0.999477	0.915417	0.999138	0.89533	0.89555	
0.03	0.03	2.75566e+07	7.42541e+09	2.50262e+06	3.92239e+06	0.875396	0.999663	0.916744	0.999472	0.916744	0.999139	0.895401	0.895593	
0.03	0.03	2.75947e+07	7.44211e+09	2.51192e+06	3.92647e+06	0.875434	0.999663	0.916566	0.999473	0.916566	0.999139	0.895334	0.895528	
0.03	0.03	2.77759e+07	7.44688e+09	2.72384e+06	3.77183e+06	0.880441	0.999634	0.910693	0.999494	0.910693	0.999132	0.895004	0.895311	
0.03	0.03	2.75511e+07	7.41988e+09	2.60751e+06	3.8587e+06	0.87715	0.999649	0.91354	0.99948	0.91354	0.999133	0.894726	0.894975	
0.03	0.03	2.74252e+07	7.41055e+09	2.38459e+06	4.0215e+06	0.872117	0.999678	0.920006	0.999458	0.920006	0.999139	0.895312	0.895422	
0.03	0.03	2.76255e+07	7.41481e+09	2.65629e+06	3.79797e+06	0.879136	0.999642	0.912281	0.999488	0.912281	0.999134	0.895121	0.895402	
0.03	0.03	2.74281e+07	7.4147e+09	2.38545e+06	4.01862e+06	0.872209	0.999678	0.919988	0.999458	0.919988	0.99914	0.895351	0.895461	
0.03	0.03	2.75673e+07	7.43639e+09	2.51732e+06	3.91885e+06	0.875537	0.999662	0.916325	0.999473	0.916325	0.999138	0.895269	0.895467	
0.03	0.03	2.75337e+07	7.42495e+09	2.52524e+06	3.8996e+06	0.87594	0.99966	0.91599	0.999475	0.91599	0.999139	0.895311	0.895518	
0.03	0.03	2.75498e+07	7.40685e+09	2.6611e+06	3.7805e+06	0.879334	0.999641	0.911916	0.99949	0.911916	0.999134	0.895043	0.895329	
0.03	0.03	2.7625e+07	7.39066e+09	2.71315e+06	3.74768e+06	0.880543	0.999633	0.91057	0.999493	0.91057	0.99913	0.894995	0.895305	
0.03	0.03	2.77581e+07	7.44727e+09	2.70496e+06	3.78934e+06	0.879885	0.999637	0.911205	0.999491	0.911205	0.999132	0.894973	0.895271	
