mtry,AUC,split,algorithm
68,0.6660917489754468,split_1,opticlust
137,0.6706094959464268,split_1,opticlust
274,0.6726517112693653,split_1,opticlust
350,0.6719516696221411,split_1,opticlust
68,0.6853600880690282,split_2,opticlust
137,0.6873414895944243,split_2,opticlust
274,0.6878102608638242,split_2,opticlust
350,0.6876957055102055,split_2,opticlust
68,0.6895678966916516,split_3,opticlust
137,0.6909563346087262,split_3,opticlust
274,0.6898293079856544,split_3,opticlust
350,0.6891534329572421,split_3,opticlust
68,0.6661588266447089,split_4,opticlust
137,0.67188287957541,split_4,opticlust
274,0.67275289365375,split_4,opticlust
350,0.6728039252835768,split_4,opticlust
68,0.6864969398450099,split_5,opticlust
137,0.6909377306448787,split_5,opticlust
274,0.6911456870143631,split_5,opticlust
350,0.6898689572590875,split_5,opticlust
68,0.6722443985628014,split_6,opticlust
137,0.677070236970916,split_6,opticlust
274,0.6797283386904652,split_6,opticlust
350,0.6800353556647488,split_6,opticlust
68,0.6919547945272916,split_7,opticlust
137,0.6973047201786876,split_7,opticlust
274,0.6954065452348923,split_7,opticlust
350,0.6955378578750889,split_7,opticlust
68,0.6876485653095753,split_8,opticlust
137,0.689865251097223,split_8,opticlust
274,0.6891071197617221,split_8,opticlust
350,0.6886231366992807,split_8,opticlust
68,0.70117627899873,split_9,opticlust
137,0.7058164814053118,split_9,opticlust
274,0.7051527622344442,split_9,opticlust
350,0.7057337281565101,split_9,opticlust
68,0.6931261881643858,split_10,opticlust
137,0.6983692983643512,split_10,opticlust
274,0.7014136112616953,split_10,opticlust
350,0.7018561955093283,split_10,opticlust
68,0.6874707506902273,split_11,opticlust
137,0.6923380473539712,split_11,opticlust
274,0.6933759717815696,split_11,opticlust
350,0.6932134311451389,split_11,opticlust
68,0.6934329069881613,split_12,opticlust
137,0.6971851506912949,split_12,opticlust
274,0.6990182144410173,split_12,opticlust
350,0.6995458180000337,split_12,opticlust
68,0.6801320361825438,split_13,opticlust
137,0.6845302406773107,split_13,opticlust
274,0.6877242278049258,split_13,opticlust
350,0.6877385857166817,split_13,opticlust
68,0.6979735611406804,split_14,opticlust
137,0.703063148978148,split_14,opticlust
274,0.706731744581832,split_14,opticlust
350,0.7059642147884757,split_14,opticlust
68,0.683077175443206,split_15,opticlust
137,0.6900854986816648,split_15,opticlust
274,0.6937171816549172,split_15,opticlust
350,0.6928040183197336,split_15,opticlust
68,0.6890185884348605,split_16,opticlust
137,0.6930872475291961,split_16,opticlust
274,0.6952318520211779,split_16,opticlust
350,0.6945525663278064,split_16,opticlust
68,0.6933047076684649,split_17,opticlust
137,0.6956882575699602,split_17,opticlust
274,0.6951476074745042,split_17,opticlust
350,0.6942978671680542,split_17,opticlust
68,0.6825356455111511,split_18,opticlust
137,0.6851127160599538,split_18,opticlust
274,0.685404977149484,split_18,opticlust
350,0.6835963080937673,split_18,opticlust
68,0.7006633320312525,split_19,opticlust
137,0.7047397149590381,split_19,opticlust
274,0.7059157421427094,split_19,opticlust
350,0.7064613448302359,split_19,opticlust
68,0.6761739636664968,split_20,opticlust
137,0.6798171280238887,split_20,opticlust
274,0.6822628226751324,split_20,opticlust
350,0.6830302790475149,split_20,opticlust
68,0.7032500673810548,split_21,opticlust
137,0.7076923440241841,split_21,opticlust
274,0.708715085004371,split_21,opticlust
350,0.7090048009213958,split_21,opticlust
68,0.6675962267209937,split_22,opticlust
137,0.6730260920654982,split_22,opticlust
274,0.6748778468414189,split_22,opticlust
350,0.6750085945260618,split_22,opticlust
68,0.6934320413139748,split_23,opticlust
137,0.6988639484534804,split_23,opticlust
274,0.7015945732788507,split_23,opticlust
350,0.7031060275860782,split_23,opticlust
68,0.6682756489364633,split_24,opticlust
137,0.6688932448804207,split_24,opticlust
274,0.6702484833514916,split_24,opticlust
350,0.6690363624162735,split_24,opticlust
68,0.6773340243371535,split_25,opticlust
137,0.6817497531269551,split_25,opticlust
274,0.6849918540563137,split_25,opticlust
350,0.6854905210484867,split_25,opticlust
68,0.7017928389613005,split_26,opticlust
137,0.7053658518520535,split_26,opticlust
274,0.7065571093763466,split_26,opticlust
350,0.7056677017533917,split_26,opticlust
68,0.7115883694983891,split_27,opticlust
137,0.7165193442974614,split_27,opticlust
274,0.718908034607526,split_27,opticlust
350,0.7188311725496483,split_27,opticlust
68,0.6873146991614241,split_28,opticlust
137,0.6890294255161313,split_28,opticlust
274,0.6899112198685708,split_28,opticlust
