mcc,split,algorithm,subset,state
0.883597,NA,opticlust,NA,NA
0.885424,split_1,optifit,train,NA
0.879919,split_10,optifit,train,NA
0.882855,split_100,optifit,train,NA
0.881804,split_11,optifit,train,NA
0.879602,split_12,optifit,train,NA
0.879563,split_13,optifit,train,NA
0.881241,split_14,optifit,train,NA
0.880082,split_15,optifit,train,NA
0.878175,split_16,optifit,train,NA
0.881638,split_17,optifit,train,NA
0.879382,split_18,optifit,train,NA
0.88175,split_19,optifit,train,NA
0.881337,split_2,optifit,train,NA
0.877734,split_20,optifit,train,NA
0.882298,split_21,optifit,train,NA
0.878912,split_22,optifit,train,NA
0.881873,split_23,optifit,train,NA
0.879409,split_24,optifit,train,NA
0.882462,split_25,optifit,train,NA
0.880409,split_26,optifit,train,NA
0.879122,split_27,optifit,train,NA
0.876549,split_28,optifit,train,NA
0.884383,split_29,optifit,train,NA
0.881922,split_3,optifit,train,NA
0.878965,split_30,optifit,train,NA
0.882479,split_31,optifit,train,NA
0.883804,split_32,optifit,train,NA
0.885146,split_33,optifit,train,NA
0.881536,split_34,optifit,train,NA
0.882301,split_35,optifit,train,NA
0.881644,split_36,optifit,train,NA
0.883058,split_37,optifit,train,NA
0.884502,split_38,optifit,train,NA
0.88045,split_39,optifit,train,NA
0.880615,split_4,optifit,train,NA
0.882162,split_40,optifit,train,NA
0.877353,split_41,optifit,train,NA
0.882402,split_42,optifit,train,NA
0.882782,split_43,optifit,train,NA
0.880115,split_44,optifit,train,NA
0.881498,split_45,optifit,train,NA
0.881301,split_46,optifit,train,NA
0.881968,split_47,optifit,train,NA
0.881136,split_48,optifit,train,NA
0.882185,split_49,optifit,train,NA
0.880758,split_5,optifit,train,NA
0.878451,split_50,optifit,train,NA
0.88061,split_51,optifit,train,NA
0.880755,split_52,optifit,train,NA
0.881571,split_53,optifit,train,NA
0.882622,split_54,optifit,train,NA
0.882927,split_55,optifit,train,NA
0.882698,split_56,optifit,train,NA
0.876658,split_57,optifit,train,NA
0.883469,split_58,optifit,train,NA
0.880692,split_59,optifit,train,NA
0.885652,split_6,optifit,train,NA
0.875278,split_60,optifit,train,NA
0.883467,split_61,optifit,train,NA
0.879291,split_62,optifit,train,NA
0.879137,split_63,optifit,train,NA
0.883779,split_64,optifit,train,NA
0.882401,split_65,optifit,train,NA
0.883082,split_66,optifit,train,NA
0.882878,split_67,optifit,train,NA
0.881476,split_68,optifit,train,NA
0.883352,split_69,optifit,train,NA
0.881399,split_7,optifit,train,NA
0.879439,split_70,optifit,train,NA
0.883484,split_71,optifit,train,NA
0.878215,split_72,optifit,train,NA
0.885201,split_73,optifit,train,NA
0.883013,split_74,optifit,train,NA
0.879404,split_75,optifit,train,NA
0.879914,split_76,optifit,train,NA
0.882059,split_77,optifit,train,NA
0.882692,split_78,optifit,train,NA
0.885011,split_79,optifit,train,NA
0.881034,split_8,optifit,train,NA
0.883131,split_80,optifit,train,NA
0.881781,split_81,optifit,train,NA
0.881586,split_82,optifit,train,NA
0.879239,split_83,optifit,train,NA
0.880312,split_84,optifit,train,NA
0.882701,split_85,optifit,train,NA
0.884865,split_86,optifit,train,NA
0.88281,split_87,optifit,train,NA
0.883354,split_88,optifit,train,NA
0.880648,split_89,optifit,train,NA
0.882638,split_9,optifit,train,NA
0.882028,split_90,optifit,train,NA
0.878691,split_91,optifit,train,NA
0.884995,split_92,optifit,train,NA
0.884499,split_93,optifit,train,NA
0.879416,split_94,optifit,train,NA
0.883586,split_95,optifit,train,NA
0.880926,split_96,optifit,train,NA
0.87823,split_97,optifit,train,NA
0.881268,split_98,optifit,train,NA
0.877129,split_99,optifit,train,NA
0.880178,split_1,optifit,test,combo
0.86289,split_1,optifit,test,fit
0.879828,split_10,optifit,test,combo
0.881979,split_10,optifit,test,fit
0.88015,split_100,optifit,test,combo
0.871763,split_100,optifit,test,fit
0.880149,split_11,optifit,test,combo
0.875241,split_11,optifit,test,fit
0.876403,split_12,optifit,test,combo
0.865449,split_12,optifit,test,fit
0.876793,split_13,optifit,test,combo
0.867487,split_13,optifit,test,fit
0.880093,split_14,optifit,test,combo
0.878373,split_14,optifit,test,fit
0.876668,split_15,optifit,test,combo
0.866779,split_15,optifit,test,fit
0.877098,split_16,optifit,test,combo
0.874767,split_16,optifit,test,fit
0.880425,split_17,optifit,test,combo
0.876847,split_17,optifit,test,fit
0.876651,split_18,optifit,test,combo
0.869486,split_18,optifit,test,fit
0.879942,split_19,optifit,test,combo
0.875319,split_19,optifit,test,fit
0.880431,split_2,optifit,test,combo
0.878318,split_2,optifit,test,fit
0.876632,split_20,optifit,test,combo
0.874118,split_20,optifit,test,fit
0.880614,split_21,optifit,test,combo
0.876272,split_21,optifit,test,fit
0.877258,split_22,optifit,test,combo
0.871304,split_22,optifit,test,fit
0.87948,split_23,optifit,test,combo
0.871703,split_23,optifit,test,fit
0.880214,split_24,optifit,test,combo
0.886145,split_24,optifit,test,fit
0.880138,split_25,optifit,test,combo
0.875369,split_25,optifit,test,fit
0.879976,split_26,optifit,test,combo
0.881903,split_26,optifit,test,fit
0.876271,split_27,optifit,test,combo
0.869111,split_27,optifit,test,fit
0.877177,split_28,optifit,test,combo
0.880114,split_28,optifit,test,fit
0.879994,split_29,optifit,test,combo
0.868901,split_29,optifit,test,fit
0.880303,split_3,optifit,test,combo
0.875749,split_3,optifit,test,fit
0.876914,split_30,optifit,test,combo
0.86932,split_30,optifit,test,fit
0.880059,split_31,optifit,test,combo
0.874238,split_31,optifit,test,fit
0.880097,split_32,optifit,test,combo
0.868824,split_32,optifit,test,fit
0.880109,split_33,optifit,test,combo
0.864025,split_33,optifit,test,fit
0.88038400000000006,split_34,optifit,test,combo
0.876974,split_34,optifit,test,fit
0.880679,split_35,optifit,test,combo
0.875553,split_35,optifit,test,fit
0.880585,split_36,optifit,test,combo
0.877688,split_36,optifit,test,fit
0.880515,split_37,optifit,test,combo
0.872945,split_37,optifit,test,fit
0.879777,split_38,optifit,test,combo
0.865451,split_38,optifit,test,fit
0.880509,split_39,optifit,test,combo
0.88219,split_39,optifit,test,fit
0.88065,split_4,optifit,test,combo
0.881288,split_4,optifit,test,fit
0.880285,split_40,optifit,test,combo
0.874473,split_40,optifit,test,fit
0.87671,split_41,optifit,test,combo
0.875397,split_41,optifit,test,fit
0.880075,split_42,optifit,test,combo
0.872453,split_42,optifit,test,fit
0.880487,split_43,optifit,test,combo
0.8748,split_43,optifit,test,fit
0.880461,split_44,optifit,test,combo
0.883787,split_44,optifit,test,fit
0.879863,split_45,optifit,test,combo
0.875437,split_45,optifit,test,fit
0.880605,split_46,optifit,test,combo
0.878765,split_46,optifit,test,fit
0.880265,split_47,optifit,test,combo
0.875445,split_47,optifit,test,fit
0.8808,split_48,optifit,test,combo
0.881684,split_48,optifit,test,fit
0.880089,split_49,optifit,test,combo
0.873432,split_49,optifit,test,fit
0.880543,split_5,optifit,test,combo
