mtry,AUC,algorithm,split
30,0.6591648101036202,opticlust_denovo,split_1
68,0.6659155294529536,opticlust_denovo,split_1
137,0.6675059731853376,opticlust_denovo,split_1
274,0.6699536045575946,opticlust_denovo,split_1
350,0.6691900298144084,opticlust_denovo,split_1
30,0.6850571376696002,opticlust_denovo,split_2
68,0.6901301879370663,opticlust_denovo,split_2
137,0.6924507216634161,opticlust_denovo,split_2
274,0.6924755295510824,opticlust_denovo,split_2
350,0.6927387786651077,opticlust_denovo,split_2
30,0.7006716620645563,opticlust_denovo,split_3
68,0.706476643378903,opticlust_denovo,split_3
137,0.7100149213310861,opticlust_denovo,split_3
274,0.7101740751366831,opticlust_denovo,split_3
350,0.70817378137493,opticlust_denovo,split_3
30,0.6597786499565275,opticlust_denovo,split_4
68,0.6668502855729226,opticlust_denovo,split_4
137,0.6743495234186812,opticlust_denovo,split_4
274,0.6765604064083536,opticlust_denovo,split_4
350,0.6778997436047659,opticlust_denovo,split_4
30,0.6784206331719381,opticlust_denovo,split_5
68,0.6861756812109225,opticlust_denovo,split_5
137,0.6900761167313652,opticlust_denovo,split_5
274,0.6918886154712136,opticlust_denovo,split_5
350,0.6913896269610087,opticlust_denovo,split_5
30,0.6641599076432149,opticlust_denovo,split_6
68,0.6719309359419636,opticlust_denovo,split_6
137,0.6766359224148869,opticlust_denovo,split_6
274,0.6798712702230187,opticlust_denovo,split_6
350,0.6780571601546764,opticlust_denovo,split_6
30,0.6886342511442319,opticlust_denovo,split_7
68,0.6954727848957256,opticlust_denovo,split_7
137,0.6981374619040975,opticlust_denovo,split_7
274,0.6964935716842371,opticlust_denovo,split_7
350,0.6947039821110578,opticlust_denovo,split_7
30,0.6853692429801646,opticlust_denovo,split_8
68,0.6896187843502048,opticlust_denovo,split_8
137,0.6918931078955345,opticlust_denovo,split_8
274,0.6923397633713227,opticlust_denovo,split_8
350,0.6928553531553949,opticlust_denovo,split_8
30,0.6972311831131155,opticlust_denovo,split_9
68,0.7042981435796747,opticlust_denovo,split_9
137,0.7073686509551518,opticlust_denovo,split_9
274,0.7085405087358428,opticlust_denovo,split_9
350,0.7076389227863342,opticlust_denovo,split_9
30,0.6800155596987891,opticlust_denovo,split_10
68,0.6874927431027973,opticlust_denovo,split_10
137,0.6927282060931382,opticlust_denovo,split_10
274,0.6951749552955414,opticlust_denovo,split_10
350,0.6951495022444361,opticlust_denovo,split_10
30,0.6820352832233048,opticlust_denovo,split_11
68,0.6901607145305817,opticlust_denovo,split_11
