mcc,split,algorithm,subset,state
0.883597,NA,opticlust_denovo,NA,NA
0.884972,split_1,optifit_self,train,NA
0.876921,split_2,optifit_self,train,NA
0.881956,split_3,optifit_self,train,NA
0.880223,split_4,optifit_self,train,NA
0.880408,split_5,optifit_self,train,NA
0.885518,split_6,optifit_self,train,NA
0.877636,split_7,optifit_self,train,NA
0.880885,split_8,optifit_self,train,NA
0.882079,split_9,optifit_self,train,NA
0.877223,split_10,optifit_self,train,NA
0.881694,split_11,optifit_self,train,NA
0.878934,split_12,optifit_self,train,NA
0.882962,split_13,optifit_self,train,NA
0.876878,split_14,optifit_self,train,NA
0.883112,split_15,optifit_self,train,NA
0.877672,split_16,optifit_self,train,NA
0.881608,split_17,optifit_self,train,NA
0.883121,split_18,optifit_self,train,NA
0.881659,split_19,optifit_self,train,NA
0.880548,split_20,optifit_self,train,NA
0.878802,split_21,optifit_self,train,NA
0.87884,split_22,optifit_self,train,NA
0.88251,split_23,optifit_self,train,NA
0.87544,split_24,optifit_self,train,NA
0.882308,split_25,optifit_self,train,NA
0.880338,split_26,optifit_self,train,NA
0.882768,split_27,optifit_self,train,NA
0.879237,split_28,optifit_self,train,NA
0.880639,split_29,optifit_self,train,NA
0.882004,split_30,optifit_self,train,NA
0.882333,split_31,optifit_self,train,NA
0.883863,split_32,optifit_self,train,NA
0.885005,split_33,optifit_self,train,NA
0.8816,split_34,optifit_self,train,NA
0.877964,split_35,optifit_self,train,NA
0.881327,split_36,optifit_self,train,NA
0.878532,split_37,optifit_self,train,NA
0.881198,split_38,optifit_self,train,NA
0.879796,split_39,optifit_self,train,NA
0.882059,split_40,optifit_self,train,NA
0.8773,split_41,optifit_self,train,NA
0.878891,split_42,optifit_self,train,NA
0.882953,split_43,optifit_self,train,NA
0.880088,split_44,optifit_self,train,NA
0.882055,split_45,optifit_self,train,NA
0.8804,split_46,optifit_self,train,NA
0.881994,split_47,optifit_self,train,NA
0.877805,split_48,optifit_self,train,NA
0.882242,split_49,optifit_self,train,NA
0.880845,split_50,optifit_self,train,NA
0.880208,split_51,optifit_self,train,NA
0.877326,split_52,optifit_self,train,NA
0.881433,split_53,optifit_self,train,NA
0.882492,split_54,optifit_self,train,NA
0.882437,split_55,optifit_self,train,NA
0.882657,split_56,optifit_self,train,NA
0.880182,split_57,optifit_self,train,NA
0.879207,split_58,optifit_self,train,NA
0.880505,split_59,optifit_self,train,NA
0.880263,split_60,optifit_self,train,NA
0.883718,split_61,optifit_self,train,NA
0.882243,split_62,optifit_self,train,NA
0.882679,split_63,optifit_self,train,NA
0.880102,split_64,optifit_self,train,NA
0.882318,split_65,optifit_self,train,NA
0.882476,split_66,optifit_self,train,NA
0.882741,split_67,optifit_self,train,NA
0.881499,split_68,optifit_self,train,NA
0.883275,split_69,optifit_self,train,NA
0.87934,split_70,optifit_self,train,NA
0.879577,split_71,optifit_self,train,NA
0.88132,split_72,optifit_self,train,NA
0.885371,split_73,optifit_self,train,NA
0.882416,split_74,optifit_self,train,NA
0.876658,split_75,optifit_self,train,NA
0.882828,split_76,optifit_self,train,NA
0.882041,split_77,optifit_self,train,NA
0.882551,split_78,optifit_self,train,NA
0.884843,split_79,optifit_self,train,NA
0.882291,split_80,optifit_self,train,NA
0.881208,split_81,optifit_self,train,NA
0.881144,split_82,optifit_self,train,NA
0.875983,split_83,optifit_self,train,NA
0.876855,split_84,optifit_self,train,NA
0.882781,split_85,optifit_self,train,NA
0.884539,split_86,optifit_self,train,NA
0.879985,split_87,optifit_self,train,NA
0.883181,split_88,optifit_self,train,NA
0.880121,split_89,optifit_self,train,NA
0.881893,split_90,optifit_self,train,NA
0.881892,split_91,optifit_self,train,NA
0.885116,split_92,optifit_self,train,NA
0.883942,split_93,optifit_self,train,NA
0.882233,split_94,optifit_self,train,NA
0.883522,split_95,optifit_self,train,NA
0.880546,split_96,optifit_self,train,NA
0.882704,split_97,optifit_self,train,NA
0.88169,split_98,optifit_self,train,NA
0.881579,split_99,optifit_self,train,NA
0.879427,split_100,optifit_self,train,NA
0.879815,split_1,optifit_self,test,combo
0.862728,split_1,optifit_self,test,fit
0.876579,split_2,optifit_self,test,combo
0.876521,split_2,optifit_self,test,fit
0.880315,split_3,optifit_self,test,combo
0.875765,split_3,optifit_self,test,fit
0.880348,split_4,optifit_self,test,combo
0.881585,split_4,optifit_self,test,fit
0.88023,split_5,optifit_self,test,combo
0.880768,split_5,optifit_self,test,fit
0.880124,split_6,optifit_self,test,combo
0.86189,split_6,optifit_self,test,fit
0.876532,split_7,optifit_self,test,combo
0.874132,split_7,optifit_self,test,fit
0.880399,split_8,optifit_self,test,combo
0.880887,split_8,optifit_self,test,fit
0.879884,split_9,optifit_self,test,combo
0.873414,split_9,optifit_self,test,fit
0.876824,split_10,optifit_self,test,combo
0.878289,split_10,optifit_self,test,fit
0.880033,split_11,optifit_self,test,combo
0.875128,split_11,optifit_self,test,fit
0.875677,split_12,optifit_self,test,combo
0.864622,split_12,optifit_self,test,fit
0.880079,split_13,optifit_self,test,combo
0.870391,split_13,optifit_self,test,fit
0.876835,split_14,optifit_self,test,combo
0.877863,split_14,optifit_self,test,fit
0.88003,split_15,optifit_self,test,combo
0.87133,split_15,optifit_self,test,fit
0.876564,split_16,optifit_self,test,combo
0.874306,split_16,optifit_self,test,fit
0.880411,split_17,optifit_self,test,combo
0.87678,split_17,optifit_self,test,fit
0.88043,split_18,optifit_self,test,combo
0.873371,split_18,optifit_self,test,fit
0.879822,split_19,optifit_self,test,combo
0.875058,split_19,optifit_self,test,fit
0.879904,split_20,optifit_self,test,combo
0.878545,split_20,optifit_self,test,fit
0.877229,split_21,optifit_self,test,combo
0.873407,split_21,optifit_self,test,fit
0.876931,split_22,optifit_self,test,combo
0.869773,split_22,optifit_self,test,fit
0.879834,split_23,optifit_self,test,combo
0.871278,split_23,optifit_self,test,fit
0.874922,split_24,optifit_self,test,combo
0.876736,split_24,optifit_self,test,fit
0.879778,split_25,optifit_self,test,combo
0.87427,split_25,optifit_self,test,fit
0.879852,split_26,optifit_self,test,combo
0.881562,split_26,optifit_self,test,fit
0.879814,split_27,optifit_self,test,combo
0.872192,split_27,optifit_self,test,fit
0.88028,split_28,optifit_self,test,combo
0.884016,split_28,optifit_self,test,fit
0.876196,split_29,optifit_self,test,combo
0.865097,split_29,optifit_self,test,fit
0.880259,split_30,optifit_self,test,combo
0.874049,split_30,optifit_self,test,fit
0.879863,split_31,optifit_self,test,combo
0.873464,split_31,optifit_self,test,fit
0.880266,split_32,optifit_self,test,combo
0.869529,split_32,optifit_self,test,fit
0.880015,split_33,optifit_self,test,combo
0.864172,split_33,optifit_self,test,fit
0.8802,split_34,optifit_self,test,combo
0.875552,split_34,optifit_self,test,fit
0.876661,split_35,optifit_self,test,combo
