algorithm,split,n_feats
opticlust_denovo,1,5436
opticlust_denovo,2,5544
opticlust_denovo,3,5451
opticlust_denovo,4,5416
opticlust_denovo,5,5512
opticlust_denovo,6,5449
opticlust_denovo,7,5459
opticlust_denovo,8,5405
opticlust_denovo,9,5534
opticlust_denovo,10,5415
opticlust_denovo,11,5444
opticlust_denovo,12,5475
opticlust_denovo,13,5494
opticlust_denovo,14,5480
opticlust_denovo,15,5449
opticlust_denovo,16,5482
opticlust_denovo,17,5516
opticlust_denovo,18,5480
opticlust_denovo,19,5501
opticlust_denovo,20,5459
opticlust_denovo,21,5478
opticlust_denovo,22,5401
opticlust_denovo,23,5494
opticlust_denovo,24,5493
opticlust_denovo,25,5411
opticlust_denovo,26,5370
opticlust_denovo,27,5494
opticlust_denovo,28,5402
opticlust_denovo,29,5502
opticlust_denovo,30,5463
opticlust_denovo,31,5423
opticlust_denovo,32,5405
opticlust_denovo,33,5482
opticlust_denovo,34,5452
opticlust_denovo,35,5411
opticlust_denovo,36,5441
opticlust_denovo,37,5437
opticlust_denovo,38,5386
opticlust_denovo,39,5435
opticlust_denovo,40,5453
opticlust_denovo,41,5481
opticlust_denovo,42,5462
opticlust_denovo,43,5564
opticlust_denovo,44,5498
opticlust_denovo,45,5455
opticlust_denovo,46,5442
opticlust_denovo,47,5529
opticlust_denovo,48,5561
opticlust_denovo,49,5435
opticlust_denovo,50,5570
opticlust_denovo,51,5397
opticlust_denovo,52,5426
opticlust_denovo,53,5480
opticlust_denovo,54,5490
opticlust_denovo,55,5404
opticlust_denovo,56,5306
opticlust_denovo,57,5539
opticlust_denovo,58,5439
opticlust_denovo,59,5431
opticlust_denovo,60,5425
opticlust_denovo,61,5400
opticlust_denovo,62,5444
opticlust_denovo,63,5408
opticlust_denovo,64,5435
opticlust_denovo,65,5460
opticlust_denovo,66,5455
opticlust_denovo,67,5340
opticlust_denovo,68,5374
opticlust_denovo,69,5424
opticlust_denovo,70,5481
opticlust_denovo,71,5504
opticlust_denovo,72,5442
opticlust_denovo,73,5371
opticlust_denovo,74,5456
opticlust_denovo,75,5537
opticlust_denovo,76,5420
opticlust_denovo,77,5480
opticlust_denovo,78,5467
opticlust_denovo,79,5344
opticlust_denovo,80,5473
opticlust_denovo,81,5379
opticlust_denovo,82,5411
opticlust_denovo,83,5428
opticlust_denovo,84,5502
opticlust_denovo,85,5503
opticlust_denovo,86,5368
opticlust_denovo,87,5482
opticlust_denovo,88,5506
opticlust_denovo,89,5448
opticlust_denovo,90,5497
opticlust_denovo,91,5528
opticlust_denovo,92,5477
opticlust_denovo,93,5525
opticlust_denovo,94,5489
opticlust_denovo,95,5451
opticlust_denovo,96,5503
opticlust_denovo,97,5360
opticlust_denovo,98,5418
opticlust_denovo,99,5439
opticlust_denovo,100,5495
optifit_self,1,5387
optifit_self,2,5493
optifit_self,3,5416
optifit_self,4,5433
optifit_self,5,5435
optifit_self,6,5355
optifit_self,7,5411
optifit_self,8,5387
optifit_self,9,5512
optifit_self,10,5380
optifit_self,11,5305
optifit_self,12,5462
optifit_self,13,5500
optifit_self,14,5402
optifit_self,15,5363
optifit_self,16,5447
optifit_self,17,5498
optifit_self,18,5453
optifit_self,19,5467
optifit_self,20,5503
optifit_self,21,5476
optifit_self,22,5375
optifit_self,23,5443
optifit_self,24,5402
optifit_self,25,5321
optifit_self,26,5376
optifit_self,27,5433
optifit_self,28,5343
optifit_self,29,5444
optifit_self,30,5471
optifit_self,31,5377
optifit_self,32,5433
optifit_self,33,5421
optifit_self,34,5344
optifit_self,35,5427
optifit_self,36,5408
optifit_self,37,5420
optifit_self,38,5404
optifit_self,39,5421
optifit_self,40,5453
optifit_self,41,5463
optifit_self,42,5496
optifit_self,43,5463
optifit_self,44,5456
optifit_self,45,5407
optifit_self,46,5431
optifit_self,47,5436
optifit_self,48,5510
optifit_self,49,5421
optifit_self,50,5527
optifit_self,51,5325
optifit_self,52,5523
optifit_self,53,5421
optifit_self,54,5422
optifit_self,55,5374
optifit_self,56,5229
optifit_self,57,5536
optifit_self,58,5375
optifit_self,59,5367
optifit_self,60,5393
