Group,RefSum,OtherSum,total,frac_nonmapped,split
2005650,9967,33,10000,0.0033,split_1
2009650,9337,663,10000,0.0663,split_1
2013660,9998,2,10000,2e-4,split_1
2025653,10000,0,10000,0,split_1
2029650,9986,14,10000,0.0014,split_1
2033650,9990,10,10000,0.001,split_1
2041650,9985,15,10000,0.0015,split_1
2049653,10000,0,10000,0,split_1
2071650,9986,14,10000,0.0014,split_1
2075650,9999,1,10000,1e-4,split_1
2077653,9999,1,10000,1e-4,split_1
2085653,9999,1,10000,1e-4,split_1
2117651,9999,1,10000,1e-4,split_1
2119650,9994,6,10000,6e-4,split_1
2139650,9991,9,10000,9e-4,split_1
2149650,9998,2,10000,2e-4,split_1
2159650,9993,7,10000,7e-4,split_1
2181650,9981,19,10000,0.0019,split_1
2189650,9999,1,10000,1e-4,split_1
2207653,9982,18,10000,0.0018,split_1
2225650,9962,38,10000,0.0038,split_1
2255653,9998,2,10000,2e-4,split_1
2257660,9999,1,10000,1e-4,split_1
2281651,9997,3,10000,3e-4,split_1
2289650,9995,5,10000,5e-4,split_1
2305651,9998,2,10000,2e-4,split_1
2365651,9998,2,10000,2e-4,split_1
2471651,9991,9,10000,9e-4,split_1
2527670,9984,16,10000,0.0016,split_1
2541670,9966,34,10000,0.0034,split_1
2565650,9988,12,10000,0.0012,split_1
2575653,9994,6,10000,6e-4,split_1
2603650,9925,75,10000,0.0075,split_1
2617653,9999,1,10000,1e-4,split_1
2657651,9999,1,10000,1e-4,split_1
2671660,9997,3,10000,3e-4,split_1
2677650,9995,5,10000,5e-4,split_1
2681650,9998,2,10000,2e-4,split_1
2695652,9993,7,10000,7e-4,split_1
2719650,9943,57,10000,0.0057,split_1
2733650,9991,9,10000,9e-4,split_1
2739651,9995,5,10000,5e-4,split_1
2775653,10000,0,10000,0,split_1
2787660,10000,0,10000,0,split_1
2801653,10000,0,10000,0,split_1
2817670,9992,8,10000,8e-4,split_1
2823650,9999,1,10000,1e-4,split_1
2827650,9998,2,10000,2e-4,split_1
2829660,9998,2,10000,2e-4,split_1
2837680,9996,4,10000,4e-4,split_1
2843670,9998,2,10000,2e-4,split_1
