sample	fraction_mapped

1	0.991
2	0.994
3	0.992
4	0.994
5	0.991
6	0.988
7	0.987
8	0.981
9	0.992
10	0.993
11	0.99
12	0.991
13	0.991
14	0.985
15	0.983
16	0.992
17	0.99
18	0.989
19	0.992
20	0.987
21	0.993
22	0.985
23	0.994
24	0.995
25	0.989
26	0.991
27	0.987
28	0.992
29	0.992
30	0.99
31	0.987
32	0.991
33	0.992
34	0.991
35	0.991
36	0.998
37	0.989
38	0.994
39	0.992
40	0.991
41	0.986
42	0.987
43	0.993
44	0.993
45	0.989
46	0.994
47	0.987
48	0.987
49	0.993
50	0.991
51	0.989
52	0.991
53	0.988
54	0.991
55	0.986
56	0.989
57	0.99
58	0.992
59	0.992
60	0.991
61	0.988
62	0.989
63	0.991
64	0.993
65	0.994
66	0.987
67	0.994
68	0.995
69	0.989
70	0.992
71	0.997
72	0.987
73	0.991
74	0.986
75	0.995
76	0.995
77	0.987
78	0.994
79	0.987
80	0.992
81	0.991
82	0.989
83	0.996
84	0.988
85	0.993
86	0.984
87	0.99
88	0.993
89	0.989
90	0.994
91	0.995
92	0.986
93	0.993
94	0.986
95	0.994
96	0.991
97	0.99
98	0.996
99	0.991
100	0.997
