mcc,split,algorithm,subset
0.895404,NA,opticlust,NA
0.897329,split_1,optifit,train
0.892642,split_2,optifit,train
0.894389,split_3,optifit,train
0.892326,split_4,optifit,train
0.892696,split_5,optifit,train
0.89633,split_6,optifit,train
0.893637,split_7,optifit,train
0.892946,split_8,optifit,train
0.892662,split_9,optifit,train
0.892342,split_10,optifit,train
0.893125,split_11,optifit,train
0.894402,split_12,optifit,train
0.894595,split_13,optifit,train
0.893251,split_14,optifit,train
0.895325,split_15,optifit,train
0.893457,split_16,optifit,train
0.892492,split_17,optifit,train
0.8949,split_18,optifit,train
0.893215,split_19,optifit,train
0.893984,split_20,optifit,train
0.893723,split_21,optifit,train
0.892994,split_22,optifit,train
0.894416,split_23,optifit,train
0.892548,split_24,optifit,train
0.893498,split_25,optifit,train
0.891409,split_26,optifit,train
0.89497,split_27,optifit,train
0.89223,split_28,optifit,train
0.896847,split_29,optifit,train
0.893219,split_30,optifit,train
0.894019,split_31,optifit,train
0.894774,split_32,optifit,train
0.896312,split_33,optifit,train
0.892972,split_34,optifit,train
0.893961,split_35,optifit,train
0.89335,split_36,optifit,train
0.894377,split_37,optifit,train
0.896418,split_38,optifit,train
0.892415,split_39,optifit,train
0.893749,split_40,optifit,train
0.892999,split_41,optifit,train
0.89444,split_42,optifit,train
0.894058,split_43,optifit,train
0.891351,split_44,optifit,train
0.893798,split_45,optifit,train
0.892148,split_46,optifit,train
0.893778,split_47,optifit,train
0.893573,split_48,optifit,train
0.89424,split_49,optifit,train
0.892445,split_50,optifit,train
0.892617,split_51,optifit,train
0.892629,split_52,optifit,train
0.892774,split_53,optifit,train
0.894254,split_54,optifit,train
0.894307,split_55,optifit,train
0.894216,split_56,optifit,train
0.892651,split_57,optifit,train
0.89412,split_58,optifit,train
0.892606,split_59,optifit,train
0.892528,split_60,optifit,train
0.895539,split_61,optifit,train
0.894284,split_62,optifit,train
0.894784,split_63,optifit,train
0.894723,split_64,optifit,train
0.893699,split_65,optifit,train
0.894611,split_66,optifit,train
0.894379,split_67,optifit,train
0.893892,split_68,optifit,train
0.894632,split_69,optifit,train
0.892656,split_70,optifit,train
0.894048,split_71,optifit,train
0.893467,split_72,optifit,train
0.896986,split_73,optifit,train
0.89434,split_74,optifit,train
0.891598,split_75,optifit,train
0.894558,split_76,optifit,train
0.893622,split_77,optifit,train
0.894588,split_78,optifit,train
0.896344,split_79,optifit,train
0.893973,split_80,optifit,train
0.89403,split_81,optifit,train
0.89342,split_82,optifit,train
0.892028,split_83,optifit,train
0.892308,split_84,optifit,train
0.894687,split_85,optifit,train
0.895971,split_86,optifit,train
0.894799,split_87,optifit,train
0.895525,split_88,optifit,train
0.892082,split_89,optifit,train
0.893623,split_90,optifit,train
0.893458,split_91,optifit,train
0.896549,split_92,optifit,train
0.895315,split_93,optifit,train
0.893602,split_94,optifit,train
0.893408,split_95,optifit,train
0.892682,split_96,optifit,train
0.894622,split_97,optifit,train
0.893466,split_98,optifit,train
0.893432,split_99,optifit,train
0.893479,split_100,optifit,train
0.739622,split_1,optifit,test
0.750943,split_2,optifit,test
0.736724,split_3,optifit,test
0.73754,split_4,optifit,test
0.74423,split_5,optifit,test
0.735967,split_6,optifit,test
0.742332,split_7,optifit,test
0.756984,split_8,optifit,test
0.740792,split_9,optifit,test
0.758025,split_10,optifit,test
0.752958,split_11,optifit,test
0.743301,split_12,optifit,test
0.740119,split_13,optifit,test
0.753278,split_14,optifit,test
0.744926,split_15,optifit,test
0.71724,split_16,optifit,test
0.71216,split_17,optifit,test
0.745548,split_18,optifit,test
0.730578,split_19,optifit,test
0.747033,split_20,optifit,test
0.725652,split_21,optifit,test
0.751381,split_22,optifit,test
0.740302,split_23,optifit,test
0.733733,split_24,optifit,test
0.743305,split_25,optifit,test
0.738632,split_26,optifit,test
0.758261,split_27,optifit,test
0.710017,split_28,optifit,test
0.765034,split_29,optifit,test
0.757631,split_30,optifit,test
0.734538,split_31,optifit,test
0.737502,split_32,optifit,test
0.757562,split_33,optifit,test
0.784652,split_34,optifit,test
0.7405,split_35,optifit,test
0.736847,split_36,optifit,test
0.710812,split_37,optifit,test
0.752825,split_38,optifit,test
0.719144,split_39,optifit,test
0.72457,split_40,optifit,test
0.717485,split_41,optifit,test
0.711038,split_42,optifit,test
0.712235,split_43,optifit,test
0.738081,split_44,optifit,test
0.74135,split_45,optifit,test
0.730347,split_46,optifit,test
0.74784,split_47,optifit,test
0.726469,split_48,optifit,test
0.762479,split_49,optifit,test
0.752486,split_50,optifit,test
0.731097,split_51,optifit,test
0.74491,split_52,optifit,test
0.751517,split_53,optifit,test
0.757975,split_54,optifit,test
0.74407,split_55,optifit,test
0.755033,split_56,optifit,test
0.746015,split_57,optifit,test
0.721999,split_58,optifit,test
0.732484,split_59,optifit,test
0.751286,split_60,optifit,test
0.772138,split_61,optifit,test
0.714969,split_62,optifit,test
0.70967,split_63,optifit,test
0.743874,split_64,optifit,test
0.740395,split_65,optifit,test
0.724459,split_66,optifit,test
0.740114,split_67,optifit,test
0.719218,split_68,optifit,test
0.738649,split_69,optifit,test
0.759239,split_70,optifit,test
0.730315,split_71,optifit,test
0.7149,split_72,optifit,test
0.729109,split_73,optifit,test
0.723056,split_74,optifit,test
0.730939,split_75,optifit,test
0.730666,split_76,optifit,test
0.742266,split_77,optifit,test
0.71918,split_78,optifit,test
0.712393,split_79,optifit,test
0.716395,split_80,optifit,test
0.728774,split_81,optifit,test
0.756384,split_82,optifit,test
0.707628,split_83,optifit,test
0.736402,split_84,optifit,test
0.749914,split_85,optifit,test
0.767985,split_86,optifit,test
0.735464,split_87,optifit,test
0.740878,split_88,optifit,test
0.749888,split_89,optifit,test
0.752701,split_90,optifit,test
0.734495,split_91,optifit,test
0.767809,split_92,optifit,test
0.75803,split_93,optifit,test
0.745635,split_94,optifit,test
0.761381,split_95,optifit,test
0.716077,split_96,optifit,test
0.741972,split_97,optifit,test
0.735168,split_98,optifit,test
0.746745,split_99,optifit,test
0.755548,split_100,optifit,test
