label,cutoff,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,fdr,accuracy,mcc,f1score,sample,type
0.03,0.03,607,232627,27,325,0.651288,0.999884,0.957413,0.998605,0.957413,0.998493,0.789007,0.775223,2003650,optifit_in
0.03,0.03,1645,774091,144,1001,0.621693,0.999814,0.919508,0.998709,0.919508,0.998526,0.755432,0.741826,2005650,optifit_in
0.03,0.03,677,509220,40,618,0.52278,0.999921,0.944212,0.998788,0.944212,0.998711,0.702074,0.672962,2007660,optifit_in
0.03,0.03,871,475227,78,600,0.592114,0.999836,0.917808,0.998739,0.917808,0.998578,0.73658,0.719835,2009650,optifit_in
0.03,0.03,148,43688,2,118,0.556391,0.999954,0.986667,0.997306,0.986667,0.99727,0.739884,0.711538,2013660,optifit_in
0.03,0.03,1141,422553,88,799,0.588144,0.999792,0.928397,0.998113,0.928397,0.997911,0.738057,0.720101,2015650,optifit_in
0.03,0.03,611,280515,50,449,0.576415,0.999822,0.924357,0.998402,0.924357,0.998228,0.729197,0.710052,2017660,optifit_in
0.03,0.03,326,123151,16,260,0.556314,0.99987,0.953216,0.997893,0.953216,0.99777,0.727318,0.702586,2019651,optifit_in
0.03,0.03,554,323488,35,338,0.621076,0.999892,0.940577,0.998956,0.940577,0.99885,0.76382,0.748143,2023680,optifit_in
0.03,0.03,80,38089,1,56,0.588235,0.999974,0.987654,0.998532,0.987654,0.998509,0.761632,0.737327,2025653,optifit_in
0.03,0.03,114,33739,4,73,0.609626,0.999881,0.966102,0.997841,0.966102,0.997731,0.766505,0.747541,2027653,optifit_in
0.03,0.03,1369,409468,111,830,0.622556,0.999729,0.925,0.997977,0.925,0.997715,0.757862,0.744224,2029650,optifit_in
0.03,0.03,474,273305,28,363,0.566308,0.999898,0.944223,0.998674,0.944223,0.998574,0.730667,0.707991,2031650,optifit_in
0.03,0.03,605,305112,42,394,0.605606,0.999862,0.935085,0.99871,0.935085,0.998576,0.75192,0.735115,2033650,optifit_in
0.03,0.03,774,388116,59,454,0.630293,0.999848,0.929172,0.998832,0.929172,0.998683,0.764705,0.751092,2035650,optifit_in
0.03,0.03,159,65437,5,102,0.609195,0.999924,0.969512,0.998444,0.969512,0.998371,0.767854,0.748235,2037653,optifit_in
0.03,0.03,709,278144,54,471,0.600847,0.999806,0.929227,0.998309,0.929227,0.998121,0.74641,0.729799,2039650,optifit_in
0.03,0.03,929,312400,62,637,0.593231,0.999802,0.937437,0.997965,0.937437,0.997774,0.744798,0.726633,2041650,optifit_in
0.03,0.03,894,675240,56,676,0.569427,0.999917,0.941053,0.999,0.941053,0.998919,0.731583,0.709524,2043650,optifit_in
0.03,0.03,89,41463,1,63,0.585526,0.999976,0.988889,0.998483,0.988889,0.998462,0.760334,0.735537,2045653,optifit_in
0.03,0.03,62,13732,3,64,0.492063,0.999782,0.953846,0.995361,0.953846,0.995166,0.683274,0.649215,2049653,optifit_in
0.03,0.03,61,33805,1,63,0.491935,0.99997,0.983871,0.99814,0.983871,0.998114,0.695023,0.655914,2051660,optifit_in
0.03,0.03,199,94515,7,109,0.646104,0.999926,0.966019,0.998848,0.966019,0.998777,0.789515,0.774319,2055690,optifit_in
0.03,0.03,765,360213,49,648,0.541401,0.999864,0.939803,0.998204,0.939803,0.998073,0.712538,0.687023,2057650,optifit_in
0.03,0.03,229,76625,15,159,0.590206,0.999804,0.938525,0.997929,0.938525,0.997741,0.743315,0.724684,2059653,optifit_in
0.03,0.03,680,181010,41,375,0.64455,0.999774,0.943135,0.997933,0.943135,0.997716,0.778686,0.765766,2061650,optifit_in
0.03,0.03,753,18468,1,84,0.899642,0.999946,0.998674,0.995472,0.998674,0.995597,0.945686,0.946574,2063650,optifit_in
0.03,0.03,339,123690,25,197,0.632463,0.999798,0.931319,0.99841,0.931319,0.998213,0.766701,0.753333,2065651,optifit_in
