mcc,split,algorithm
0.874322,split_1,opticlust
0.893532,split_2,opticlust
0.885101,split_3,opticlust
0.894161,split_4,opticlust
0.891551,split_5,opticlust
0.876396,split_6,opticlust
0.888422,split_7,opticlust
0.89125,split_8,opticlust
0.891009,split_9,opticlust
0.892251,split_10,opticlust
0.88901,split_11,opticlust
0.881723,split_12,opticlust
0.885002,split_13,opticlust
0.88866,split_14,opticlust
0.88114,split_15,opticlust
0.886595,split_16,opticlust
0.892117,split_17,opticlust
0.884117,split_18,opticlust
0.890206,split_19,opticlust
0.8876,split_20,opticlust
0.885576,split_21,opticlust
0.887183,split_22,opticlust
0.881709,split_23,opticlust
0.893229,split_24,opticlust
0.890487,split_25,opticlust
0.894229,split_26,opticlust
0.882513,split_27,opticlust
0.892423,split_28,opticlust
0.876296,split_29,opticlust
0.886612,split_30,opticlust
0.886846,split_31,opticlust
0.883355,split_32,opticlust
0.877431,split_33,opticlust
0.889326,split_34,opticlust
0.885011,split_35,opticlust
0.885234,split_36,opticlust
0.88474,split_37,opticlust
0.87846,split_38,opticlust
0.893522,split_39,opticlust
0.88655,split_40,opticlust
0.890188,split_41,opticlust
0.882702,split_42,opticlust
0.887976,split_43,opticlust
0.897448,split_44,opticlust
0.886975,split_45,opticlust
0.891452,split_46,opticlust
0.886868,split_47,opticlust
0.889335,split_48,opticlust
0.885479,split_49,opticlust
0.891942,split_50,opticlust
0.892848,split_51,opticlust
0.892986,split_52,opticlust
0.890152,split_53,opticlust
0.884706,split_54,opticlust
0.884248,split_55,opticlust
0.885749,split_56,opticlust
0.892608,split_57,opticlust
0.885304,split_58,opticlust
0.892343,split_59,opticlust
0.892296,split_60,opticlust
0.881977,split_61,opticlust
0.881749,split_62,opticlust
0.882638,split_63,opticlust
0.883056,split_64,opticlust
0.887074,split_65,opticlust
0.885821,split_66,opticlust
0.885271,split_67,opticlust
0.886193,split_68,opticlust
0.88356,split_69,opticlust
0.891861,split_70,opticlust
0.881101,split_71,opticlust
0.888761,split_72,opticlust
0.874311,split_73,opticlust
0.883417,split_74,opticlust
0.897499,split_75,opticlust
0.88509,split_76,opticlust
0.889673,split_77,opticlust
0.884228,split_78,opticlust
0.875403,split_79,opticlust
0.885492,split_80,opticlust
0.884135,split_81,opticlust
0.88715,split_82,opticlust
0.889536,split_83,opticlust
0.89317,split_84,opticlust
0.884501,split_85,opticlust
0.877497,split_86,opticlust
0.880936,split_87,opticlust
0.879671,split_88,opticlust
0.896609,split_89,opticlust
0.88935,split_90,opticlust
0.88587,split_91,opticlust
0.874748,split_92,opticlust
0.880759,split_93,opticlust
0.88826,split_94,opticlust
0.888742,split_95,opticlust
0.890757,split_96,opticlust
0.882478,split_97,opticlust
0.888528,split_98,opticlust
0.88696,split_99,opticlust
0.887903,split_100,opticlust
